Nivel;Clasificacion;Capitulo_Nombre;Subcapitulo_Nombre;Actividad_Nombre;WBS;KPI;Valor
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;1.1.1;BAC;12490,8
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;1.1.2;BAC;8119,89
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;1.1.3;BAC;6161,67
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Vias Internas;1.1.4;BAC;19161,45
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Drenajes;1.1.5;BAC;5411,69
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Malla a Tierra;1.1.6;BAC;8668,09
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - SSAA;1.1.7;BAC;11084,84
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Comunicaciones;1.1.8;BAC;10824,58
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Cerramiento;1.1.9;BAC;17237,06
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Iluminacion;1.1.10;BAC;12327,24
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Porticos 115kV;1.2.1;BAC;14121,4
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Caseta de Control;1.2.2;BAC;15284,69
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Trafo de Potencia;1.2.3;BAC;16848,29
