Fecha;Semana;WBS;Capitulo;Subcapitulo;Actividad;PV;EV;AC;Comentarios_Obra;Comentarios_Admin
2025-07-06;1;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;0,0;0,0;0,0;-;-
2025-07-13;2;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;290,08;277,83;283,5;Levantamiento topografico entregado y firmado.;Actas de avance de consultoria liquidadas.
2025-07-20;3;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;666,43;638,28;651,31;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-07-27;4;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;1084,08;1038,29;1059,48;Memoria de calculo civil aprobada para construccion.;Actas de avance de consultoria liquidadas.
2025-08-03;5;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;1531,05;1466,38;1496,31;Levantamiento topografico entregado y firmado.;Sin alertas contractuales en la fase de ingenieria.
2025-08-10;6;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;2001,16;1916,64;1955,75;Levantamiento topografico entregado y firmado.;Sin alertas contractuales en la fase de ingenieria.
2025-08-17;7;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;2490,57;2385,37;2434,06;Planos electromecanicos sin observaciones mayores.;Actas de avance de consultoria liquidadas.
2025-08-24;8;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;2996,64;2870,07;2928,64;Levantamiento topografico entregado y firmado.;Actas de avance de consultoria liquidadas.
2025-08-31;9;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;3517,42;3368,85;3437,6;Memoria de calculo civil aprobada para construccion.;Actas de avance de consultoria liquidadas.
2025-09-07;10;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;4051,43;3880,31;3959,5;Levantamiento topografico entregado y firmado.;Sin alertas contractuales en la fase de ingenieria.
